Производитель,Модель,Цена,Цена без скидки,Скидка,Процессор,Дискретная видеокарта,Встроенная видеокарта,Оперативная память,SSD,HDD,Экран,Операционная система,Ссылка
ASUS,TUF Gaming F17 FX707ZM-HX052W,164999,0,0,Intel Core i7-12700H кол-во ядер: 6,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR5 4800 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/9e688d285e0ced20/173-noutbuk-asus-tuf-gaming-f17-fx707zm-hx052w-serebristyj/characteristics/
MSI,GF76 Katana 12UGS-070XRU,166499,184999,10,Intel Core i7-12700H кол-во ядер: 6,NVIDIA GeForce RTX 3070 Ti для ноутбуков 8 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/0dcd367974eaed20/173-noutbuk-msi-gf76-katana-12ugs-070xru-cernyj/characteristics/
MSI,Delta 15 A5EFK-038RU,169999,0,0,AMD Ryzen 7 5800H 8x3.2 ГГц,AMD Radeon RX 6700M 10 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,2000 ГБ M.2 PCIe (2 шт.),Нет,"1920x1080 15.6"" IPS 240 Гц",Windows 10 Home Single Language,https://www.dns-shop.ru/product/17b7d73219f2ed20/156-noutbuk-msi-delta-15-a5efk-038ru-seryj/characteristics/
MSI,GF66 Katana 12UG-434XRU,169999,0,0,Intel Core i7-12700H кол-во ядер: 6,NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 240 Гц",без ОС,https://www.dns-shop.ru/product/fd8c762472a4ed20/156-noutbuk-msi-gf66-katana-12ug-434xru-cernyj/characteristics/
HP,OMEN 16-c0057ur,169999,0,0,AMD Ryzen 7 5800H 8x3.2 ГГц,NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 16.1"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/84d099efeddaed20/161-noutbuk-hp-omen-16-c0057ur-seryj/characteristics/
MSI,Pulse GL66 11UEK-208RU,173999,0,0,Intel Core i7-11800H 8x2.3 ГГц,NVIDIA GeForce RTX 3060 для ноутбуков 6 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,512 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/3fed33089fa32ff4/156-noutbuk-msi-pulse-gl66-11uek-208ru-seryj/characteristics/
HP,OMEN 15-en1021ur,174999,0,0,AMD Ryzen 7 5800H 8x3.2 ГГц,NVIDIA GeForce RTX 3070 для ноутбуков 8 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,1024 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/380a3f1ae2f6ed20/156-noutbuk-hp-omen-15-en1021ur-seryj/characteristics/
Acer,Nitro 5 AN515-45-R5A1,179999,0,0,AMD Ryzen 7 5800H 8x3.2 ГГц,NVIDIA GeForce RTX 3080 для ноутбуков 8 ГБ,AMD Radeon Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"2560x1440 15.6"" IPS 165 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/bc579f6c32d7ed20/156-noutbuk-acer-nitro-5-an515-45-r5a1-cernyj/characteristics/
MSI,Crosshair 15 B12UGSZ-479XRU,179999,199999,10,Intel Core i7-12700H кол-во ядер: 6,NVIDIA GeForce RTX 3070 Ti для ноутбуков 8 ГБ,Intel Iris Xe Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",без ОС,https://www.dns-shop.ru/product/bdda202fd5b2ed20/156-noutbuk-msi-crosshair-15-b12ugsz-479xru-seryj/characteristics/
MSI,GF76 Katana 12UGS-068RU,179999,199999,10,Intel Core i7-12700H кол-во ядер: 6,NVIDIA GeForce RTX 3070 Ti для ноутбуков 8 ГБ,Intel UHD Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 17.3"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/84513e7a72a3ed20/173-noutbuk-msi-gf76-katana-12ugs-068ru-cernyj/characteristics/
MSI,Crosshair 15 B12UGSZ-478RU,188999,209999,10,Intel Core i7-12700H кол-во ядер: 6,NVIDIA GeForce RTX 3070 Ti для ноутбуков 8 ГБ,Intel Iris Xe Graphics,16 ГБ DDR4 3200 МГц,1000 ГБ M.2 PCIe,Нет,"1920x1080 15.6"" IPS 144 Гц",Windows 11 Home Single Language,https://www.dns-shop.ru/product/2ac3587ed5b2ed20/156-noutbuk-msi-crosshair-15-b12ugsz-478ru-cernyj/characteristics/
